WARNING: root : 11/01/2024 12:42:31: Unknown in local..
WARNING: root : 11/01/2024 12:42:33: Unknown in local..
WARNING: root : 11/01/2024 12:42:35: Unknown in local..
WARNING: root : 11/01/2024 12:42:37: Unknown in local..
WARNING: root : 11/01/2024 12:42:54: Unknown in local..
WARNING: root : 11/01/2024 12:42:56: Unknown in local..
INFO: root : 11/01/2024 12:42:58: Rosto Localizado thiagocosme.jpg
WARNING: root : 11/01/2024 12:43:00: Unknown in local..
INFO: root : 11/01/2024 12:43:17: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:43:59: Rosto Localizado thiagocosme.jpg
WARNING: root : 11/01/2024 12:44:29: Unknown in local..
WARNING: root : 11/01/2024 12:44:31: Unknown in local..
INFO: root : 11/01/2024 12:44:33: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:44:36: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:44:38: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:44:40: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:44:42: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:44:44: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:44:46: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:44:48: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:44:50: Rosto Localizado thiagocosme.jpg
WARNING: root : 11/01/2024 12:45:06: Unknown in local..
INFO: root : 11/01/2024 12:45:08: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:45:10: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:45:12: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:45:14: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:45:16: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:45:18: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:45:30: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:45:32: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:45:34: Rosto Localizado thiagocosme.jpg
